prefix,k,support,dH,pred_next
4-3-4-4,4,109,0.492166,4
10-10-13-10,4,109,0.486866,10
11-11-11-14,4,109,0.421391,11
5-5-5-11,4,106,0.516178,5
5-7-5-5,4,105,0.625665,5
7-7-7-14,4,105,0.524656,7
4-13-4-13,4,104,0.568985,13
11-11-4-11,4,104,0.541935,11
13-0-0-13,4,102,0.424701,13
7-15-15-7,4,101,0.409400,15
7-14-7-7,4,100,0.629842,7
2-13-2-2,4,100,0.610671,2
0-0-15-0,4,98,0.420609,0
0-0-0-7,4,94,0.443210,0
2-2-2-5,4,93,0.444794,2
5-5-11-5,4,92,0.865729,5
13-4-4-13,4,91,0.684395,13
0-0-7-0,4,86,0.936768,0
5-11-5-5,4,85,0.957137,5
5-5-9-9,4,85,0.468854,9
7-7-0-7,4,84,0.750339,7
11-1-11-11,4,84,0.583128,11
1-1-11-1,4,83,0.652235,1
0-5-0-0,4,83,0.607335,0
15-15-15-3,4,83,0.435263,15
0-0-11-0,4,82,0.597134,0
4-0-4-4,4,81,0.699135,4
1-11-1-1,4,81,0.676106,1
11-11-3-11,4,81,0.470761,11
15-14-15-15,4,81,0.462878,15
0-7-0-0,4,81,0.433057,0
9-3-9-9,4,80,0.739691,9
0-0-0-5,4,80,0.458848,0
11-9-9-11,4,79,0.649775,11
9-9-7-15,4,79,0.488183,9
15-5-15-15,4,79,0.428268,15
9-9-9-4,4,79,0.414035,9
0-4-0-0,4,78,0.523884,0
12-12-12-13,4,77,0.797777,12
15-15-14-15,4,77,0.408698,15
12-12-13-12,4,76,0.578431,12
13-13-2-2,4,76,0.492901,2
10-10-10-9,4,75,0.728254,10
9-9-15-7,4,75,0.469178,9
7-5-7-7,4,74,0.664322,7
12-13-12-12,4,72,0.627721,12
9-9-9-1,4,72,0.509388,9
13-13-11-9,4,72,0.488577,13
4-4-4-9,4,72,0.434204,4
15-15-4-15,4,71,0.556183,15
7-7-7-3,4,71,0.427330,7
15-15-3-15,4,69,0.656911,15
1-1-9-1,4,69,0.591683,1
7-0-7-7,4,69,0.585072,7
13-8-13-13,4,69,0.553052,13
15-15-15-4,4,69,0.440838,15
1-13-1-13,4,69,0.429787,13
10-9-10-10,4,68,0.521768,10
9-13-9-15,4,67,0.774252,9
6-13-13-6,4,67,0.437294,13
4-4-4-7,4,66,0.815161,4
3-13-3-3,4,66,0.763706,3
4-4-4-15,4,66,0.519170,4
15-15-10-15,4,66,0.503511,15
0-15-0-15,4,66,0.500591,0
1-9-1-1,4,66,0.486880,1
9-1-9-9,4,66,0.457607,9
13-13-13-8,4,66,0.451432,13
13-1-13-1,4,66,0.449519,1
2-5-2-2,4,66,0.446513,2
3-0-3-3,4,65,1.096354,3
10-10-9-10,4,65,0.642504,10
13-13-8-13,4,65,0.550588,13
13-15-9-13,4,64,0.519366,13
4-4-7-4,4,64,0.516540,4
13-9-13-11,4,64,0.506090,13
6-6-6-3,4,64,0.493861,6
10-10-10-15,4,64,0.445767,10
6-6-6-7,4,64,0.417269,6
5-15-5-5,4,63,0.835119,5
9-4-9-9,4,63,0.834527,9
13-9-13-15,4,63,0.610752,13
6-6-1-6,4,63,0.564463,6
7-7-3-7,4,63,0.492100,7
13-3-13-3,4,63,0.487184,13
6-6-6-1,4,63,0.421833,6
5-5-15-5,4,62,0.831274,5
12-12-12-3,4,62,0.642162,12
10-13-10-13,4,62,0.485783,13
3-3-0-3,4,61,0.810877,3
6-9-6-6,4,61,0.411684,6
7-7-9-15,4,60,0.456187,7
9-9-10-9,4,60,0.425573,9
4-4-15-4,4,59,0.571221,4
1-1-15-1,4,59,0.444257,1
15-15-13-9,4,59,0.420545,15
9-9-1-9,4,58,0.807271,9
6-7-6-6,4,58,0.772268,6
1-7-1-1,4,58,0.613076,1
15-3-15-15,4,58,0.502961,15
6-5-6-6,4,58,0.437089,6
11-11-11-10,4,57,0.592390,11
12-0-12-12,4,56,0.716942,12
11-10-11-11,4,56,0.628504,11
10-10-10-2,4,56,0.605840,10
14-14-14-7,4,56,0.538439,14
9-9-4-9,4,56,0.467795,9
13-3-3-13,4,55,0.576140,13
13-9-15-13,4,55,0.541391,13
1-1-1-7,4,55,0.491383,1
13-13-10-10,4,55,0.481902,13
10-15-10-10,4,54,0.566693,10
13-9-11-13,4,53,0.980107,13
10-10-15-10,4,53,0.757552,10
4-7-4-4,4,53,0.528994,4
13-10-10-13,4,53,0.492966,13
5-2-5-5,4,53,0.457114,5
14-7-14-7,4,53,0.425223,14
4-4-9-4,4,52,0.626436,4
0-9-0-9,4,52,0.625157,0
6-6-7-6,4,52,0.518534,6
2-2-5-5,4,52,0.498556,5
9-7-9-13,4,51,0.607746,13
1-1-7-1,4,51,0.491036,1
0-0-0-10,4,51,0.482768,0
12-12-0-12,4,50,0.449121,12
5-11-11-5,4,50,0.429000,5
9-9-7-13,4,50,0.407849,13
1-15-1-1,4,49,1.183386,1
4-9-4-4,4,49,0.694062,4
13-13-15-7,4,49,0.627896,13
7-9-7-13,4,49,0.502515,7
9-9-9-2,4,49,0.440847,9
11-7-7-11,4,48,0.627068,7
11-0-11-0,4,48,0.518897,11
0-0-0-14,4,48,0.471583,0
4-4-11-11,4,48,0.445355,11
11-11-13-9,4,47,0.930919,11
2-13-13-2,4,47,0.822653,13
12-12-12-15,4,47,0.746765,12
2-2-14-2,4,47,0.732580,2
4-4-4-5,4,46,0.565355,4
5-0-5-5,4,46,0.556188,5
0-0-10-0,4,46,0.514027,0
7-14-7-14,4,46,0.513638,7
5-5-2-2,4,46,0.474286,2
11-15-11-15,4,46,0.460459,11
4-0-4-0,4,45,0.927809,4
14-14-14-13,4,45,0.780405,14
3-3-3-7,4,45,0.419566,3
14-7-14-14,4,44,1.008292,14
10-10-2-10,4,44,0.770171,10
10-2-10-10,4,44,0.702672,10
12-12-15-12,4,44,0.673259,12
14-14-14-11,4,44,0.621351,14
7-7-9-13,4,44,0.556065,7
7-7-13-9,4,44,0.555419,7
3-3-11-11,4,44,0.428156,11
5-5-14-5,4,43,0.993185,5
15-15-15-8,4,43,0.617153,15
3-13-13-3,4,43,0.584891,13
1-5-1-1,4,43,0.578032,1
7-7-1-7,4,43,0.461875,7
13-5-13-9,4,43,0.449686,13
3-4-3-3,4,43,0.448827,3
12-12-13-13,4,43,0.436498,13
3-3-3-6,4,43,0.423307,3
12-15-12-12,4,42,0.696823,12
13-5-9-13,4,42,0.670079,13
15-2-15-15,4,42,0.539420,15
14-14-14-15,4,42,0.449180,14
13-9-5-13,4,42,0.444666,13
14-14-11-14,4,41,0.696689,14
13-7-13-11,4,41,0.578287,13
7-7-2-7,4,41,0.561709,7
7-2-7-7,4,41,0.555302,7
3-11-3-3,4,41,0.552652,3
2-15-2-2,4,41,0.474277,2
9-13-9-11,4,41,0.445203,9
5-5-5-1,4,41,0.439028,5
2-2-9-2,4,41,0.430165,2
3-4-3-4,4,41,0.423470,4
9-9-9-6,4,41,0.418114,9
9-2-9-9,4,40,0.541650,9
3-3-4-3,4,40,0.507029,3
11-11-4-4,4,40,0.434185,4
13-13-7-15,4,39,0.890960,13
13-7-11-13,4,39,0.737248,13
1-1-14-1,4,39,0.721506,1
6-6-6-15,4,39,0.645570,6
9-13-9-7,4,39,0.628911,9
11-11-3-3,4,39,0.508201,3
1-14-1-1,4,39,0.500197,1
5-14-5-5,4,39,0.448200,5
10-10-7-10,4,38,1.141697,10
2-9-2-2,4,38,1.107586,2
4-5-4-4,4,38,0.895166,4
0-3-3-0,4,38,0.835985,0
3-3-3-15,4,38,0.779189,3
4-3-4-3,4,38,0.709648,4
13-13-12-12,4,38,0.645520,12
4-4-5-4,4,38,0.604935,4
13-15-13-7,4,38,0.548167,13
14-14-13-14,4,38,0.522832,14
7-1-7-7,4,38,0.410316,7
10-10-10-7,4,37,1.108328,10
9-9-6-9,4,37,0.783510,9
12-12-4-12,4,37,0.550137,12
0-0-0-8,4,37,0.546087,0
2-7-2-2,4,37,0.491252,2
13-15-13-11,4,37,0.407086,13
3-12-3-3,4,36,0.820258,3
1-1-2-1,4,36,0.780294,1
9-9-12-9,4,36,0.710606,9
13-11-5-13,4,36,0.689182,13
10-10-10-0,4,36,0.663745,10
7-4-7-7,4,36,0.656541,7
5-5-4-5,4,36,0.632105,5
7-5-7-5,4,36,0.617430,5
12-12-12-10,4,36,0.611794,12
7-7-14-14,4,36,0.594234,14
15-15-4-4,4,36,0.536063,4
7-7-10-7,4,36,0.501337,7
11-11-5-13,4,36,0.501102,11
0-0-0-12,4,36,0.424132,0
7-9-13-7,4,35,0.924789,7
9-15-9-5,4,35,0.828924,9
5-5-5-4,4,35,0.820086,5
0-0-8-0,4,35,0.811078,0
5-4-5-5,4,35,0.762048,5
13-11-13-7,4,35,0.761714,13
14-14-14-9,4,35,0.711622,14
9-12-9-9,4,35,0.666131,9
1-1-1-4,4,35,0.665479,1
3-9-3-3,4,35,0.640960,3
11-0-0-11,4,35,0.639819,11
13-15-7-7,4,35,0.565816,7
14-9-14-14,4,35,0.559923,14
11-5-11-5,4,35,0.502043,11
15-7-15-13,4,35,0.443812,15
13-7-13-15,4,35,0.426693,13
15-8-15-15,4,34,0.975261,15
9-3-3-9,4,34,0.868889,9
10-7-10-10,4,34,0.747327,10
14-7-7-14,4,34,0.583569,7
14-14-13-13,4,34,0.518797,13
5-5-9-13,4,34,0.518696,5
14-13-14-14,4,34,0.511779,14
7-13-7-9,4,34,0.496731,9
13-0-13-11,4,34,0.420127,13
12-9-12-12,4,33,1.293502,12
12-4-12-12,4,33,1.080473,12
4-3-3-4,4,33,1.004275,4
13-15-7-13,4,33,0.847222,13
15-12-15-15,4,33,0.646892,15
9-9-15-5,4,33,0.573349,9
14-14-9-9,4,33,0.566378,9
1-2-1-1,4,33,0.550387,1
2-5-2-5,4,33,0.548709,2
12-12-12-7,4,33,0.538407,12
11-11-11-12,4,33,0.532853,11
6-6-15-6,4,33,0.528685,6
9-15-9-14,4,33,0.523737,9
11-9-13-11,4,33,0.508932,11
0-1-0-0,4,32,1.279391,0
3-3-12-3,4,32,1.069818,3
12-12-7-12,4,32,1.052847,12
10-11-10-10,4,32,0.825861,10
3-3-7-7,4,32,0.769865,7
4-4-4-12,4,32,0.707617,4
9-6-9-9,4,32,0.675364,9
11-11-15-9,4,32,0.672663,11
9-9-14-14,4,32,0.617398,14
3-7-3-7,4,32,0.588882,3
4-15-4-15,4,32,0.512510,4
5-9-9-15,4,32,0.505647,9
5-7-5-7,4,32,0.482053,5
11-11-11-8,4,32,0.432612,11
13-11-7-13,4,32,0.428973,13
3-7-3-3,4,31,1.261127,3
4-4-12-4,4,31,0.989607,4
2-10-2-2,4,31,0.853378,2
12-12-9-12,4,31,0.850565,12
7-10-7-7,4,31,0.844403,7
7-14-14-7,4,31,0.816909,14
12-7-12-12,4,31,0.802930,12
14-14-15-14,4,31,0.763208,14
5-1-5-5,4,31,0.705407,5
5-2-2-5,4,31,0.704928,5
10-10-0-10,4,31,0.683658,10
13-5-15-13,4,31,0.678919,13
7-7-11-13,4,31,0.663416,13
9-13-9-5,4,31,0.538493,9
3-3-7-3,4,31,0.416497,3
9-11-7-7,4,31,0.405182,7
7-7-7-12,4,31,0.400988,7
13-0-13-9,4,30,1.284821,13
12-10-12-12,4,30,1.032043,12
10-0-10-10,4,30,1.031683,10
15-11-9-15,4,30,0.853852,15
2-2-14-14,4,30,0.798021,2
0-0-12-0,4,30,0.768018,0
11-11-8-11,4,30,0.735886,11
13-13-11-5,4,30,0.721492,13
8-8-8-13,4,30,0.716663,8
0-14-0-0,4,30,0.713558,0
15-15-8-15,4,30,0.681067,15
13-7-13-5,4,30,0.610440,13
13-13-9-0,4,30,0.556434,13
15-9-15-5,4,30,0.481778,15
15-15-3-3,4,30,0.470966,3
0-8-0-0,4,29,1.064562,0
11-11-7-9,4,29,0.924296,11
11-13-11-0,4,29,0.777541,11
1-4-1-1,4,29,0.757923,1
7-3-7-3,4,29,0.736537,7
0-9-13-13,4,29,0.697537,13
8-8-13-8,4,29,0.673081,8
11-11-13-5,4,29,0.629229,11
15-14-9-9,4,29,0.582208,15
3-15-3-3,4,29,0.580967,3
1-11-11-1,4,29,0.580381,11
5-3-5-5,4,29,0.558695,5
11-13-11-5,4,29,0.525583,13
14-14-9-14,4,29,0.505207,14
10-10-10-3,4,29,0.480985,10
4-0-0-4,4,28,1.011358,4
0-0-1-0,4,28,0.982055,0
13-9-13-0,4,28,0.826939,13
13-13-7-5,4,28,0.753188,13
9-7-11-11,4,28,0.598670,11
15-13-7-7,4,28,0.592614,7
5-5-14-14,4,28,0.583122,14
4-4-15-15,4,28,0.553578,15
0-7-7-0,4,28,0.534342,0
7-15-13-7,4,28,0.528632,7
4-13-11-13,4,28,0.519242,13
15-13-15-7,4,28,0.497344,15
14-11-14-14,4,28,0.494985,14
15-15-14-14,4,28,0.450282,14
13-15-15-11,4,28,0.439998,15
11-5-11-13,4,28,0.439136,13
13-5-13-7,4,28,0.420096,13
8-13-8-8,4,28,0.410577,8
11-13-15-11,4,27,1.362989,11
6-15-6-6,4,27,1.109319,6
0-0-0-1,4,27,1.075492,0
7-6-7-7,4,27,1.040516,7
11-13-5-11,4,27,0.831168,11
15-9-11-11,4,27,0.738147,11
1-1-3-1,4,27,0.722410,1
13-13-14-9,4,27,0.706947,13
9-3-9-3,4,27,0.655645,9
13-15-11-13,4,27,0.630171,13
15-15-11-13,4,27,0.627065,15
13-5-5-9,4,27,0.577899,5
9-0-9-15,4,27,0.568470,9
6-6-6-4,4,27,0.537110,6
9-15-0-0,4,27,0.522971,0
5-15-15-5,4,27,0.518555,5
9-5-9-7,4,27,0.486802,7
5-5-0-0,4,27,0.466045,0
9-9-15-0,4,27,0.456470,0
14-5-14-14,4,26,0.959192,14
0-12-0-0,4,26,0.958639,0
13-0-11-13,4,26,0.948398,13
13-0-9-13,4,26,0.864120,13
9-9-0-15,4,26,0.809132,0
10-10-10-11,4,26,0.760836,10
13-11-15-13,4,26,0.749340,13
15-9-15-14,4,26,0.726665,15
15-15-14-9,4,26,0.665049,9
13-14-9-13,4,26,0.658287,13
3-0-3-0,4,26,0.623890,0
7-7-7-6,4,26,0.599006,7
13-11-11-0,4,26,0.596272,11
11-13-13-2,4,26,0.577163,13
0-11-13-13,4,26,0.559800,13
11-11-15-13,4,26,0.549836,13
9-13-14-13,4,26,0.473873,13
15-4-15-4,4,26,0.469656,4
13-13-15-14,4,26,0.440962,13
5-15-13-13,4,26,0.439082,13
11-15-11-13,4,26,0.411231,11
11-14-11-14,4,25,1.343270,11
13-9-13-14,4,25,1.083986,13
13-4-13-11,4,25,1.048364,13
7-11-7-9,4,25,0.924394,7
3-3-15-15,4,25,0.913032,15
9-9-6-6,4,25,0.770066,6
11-9-15-11,4,25,0.739573,11
13-13-0-9,4,25,0.731976,13
15-15-9-0,4,25,0.671191,9
7-7-6-7,4,25,0.668351,7
9-15-14-15,4,25,0.656860,15
10-15-15-10,4,25,0.623558,10
11-9-11-15,4,25,0.578789,9
11-13-11-15,4,25,0.536683,11
13-11-0-13,4,25,0.513869,13
2-2-10-2,4,25,0.486286,2
11-3-3-11,4,25,0.465073,11
6-6-6-8,4,25,0.431433,6
15-15-0-13,4,25,0.412223,13
10-9-10-9,4,24,1.517344,9
4-1-4-4,4,24,1.210487,4
6-6-3-3,4,24,0.916613,3
11-14-14-11,4,24,0.900136,14
1-11-1-11,4,24,0.887703,1
5-5-3-5,4,24,0.827137,5
10-10-3-10,4,24,0.826459,10
5-5-5-10,4,24,0.826073,5
3-6-3-3,4,24,0.810156,3
15-15-5-9,4,24,0.796464,9
11-11-7-13,4,24,0.678973,11
14-14-11-11,4,24,0.632795,11
15-0-15-9,4,24,0.625944,15
15-15-1-15,4,24,0.607858,15
15-9-5-15,4,24,0.577214,15
4-6-4-4,4,24,0.569837,4
11-11-2-13,4,24,0.547747,11
13-5-7-13,4,24,0.542084,13
1-1-1-3,4,24,0.526371,1
3-3-3-5,4,24,0.526143,3
15-15-13-7,4,24,0.401272,7
1-1-0-1,4,23,1.172539,1
1-0-1-1,4,23,0.964023,1
12-12-12-11,4,23,0.919411,12
15-13-15-14,4,23,0.888111,15
13-9-0-13,4,23,0.856333,13
15-7-13-15,4,23,0.846272,15
4-4-1-4,4,23,0.797682,4
9-10-9-10,4,23,0.730529,10
13-15-13-0,4,23,0.720202,13
14-0-14-14,4,23,0.692065,14
9-15-15-14,4,23,0.687989,15
11-7-9-11,4,23,0.684624,11
9-14-15-15,4,23,0.669774,15
14-14-2-2,4,23,0.661628,2
4-15-15-4,4,23,0.650657,4
15-1-15-15,4,23,0.642552,15
15-15-7-13,4,23,0.590566,7
13-13-5-15,4,23,0.582974,13
9-7-9-5,4,23,0.532688,9
10-10-11-10,4,23,0.519166,10
5-7-7-5,4,23,0.509596,5
9-14-14-9,4,23,0.489849,9
14-2-14-14,4,23,0.436844,14
11-1-1-11,4,23,0.432115,11
13-11-15-15,4,23,0.426101,15
13-14-14-13,4,23,0.422887,13
13-11-11-15,4,23,0.418082,11
0-9-15-15,4,23,0.415209,15
14-14-0-14,4,22,1.331974,14
13-13-0-11,4,22,1.057859,13
13-14-13-9,4,22,0.896067,13
9-7-9-11,4,22,0.848679,11
14-14-14-0,4,22,0.842047,14
7-5-7-9,4,22,0.795249,7
7-9-5-9,4,22,0.794675,9
9-9-14-7,4,22,0.793885,9
2-2-2-3,4,22,0.793779,2
15-15-9-11,4,22,0.762691,15
5-5-13-7,4,22,0.759118,13
11-2-11-13,4,22,0.757062,11
9-6-6-9,4,22,0.727487,9
6-6-9-9,4,22,0.721832,9
13-4-13-5,4,22,0.659084,13
14-2-14-2,4,22,0.593960,14
9-11-9-7,4,22,0.582236,9
13-11-4-13,4,22,0.581255,13
2-2-10-10,4,22,0.565422,10
5-5-13-11,4,22,0.544204,5
12-11-12-12,4,22,0.519842,12
11-0-13-11,4,22,0.509185,11
5-9-13-5,4,22,0.497171,5
0-0-0-2,4,22,0.488199,0
15-9-10-15,4,22,0.444183,9
9-15-11-9,4,22,0.422050,9
14-11-11-14,4,22,0.401394,14
3-9-3-9,4,21,1.323854,3
14-14-5-14,4,21,1.282376,14
10-3-10-10,4,21,1.256133,10
7-7-9-5,4,21,1.074709,7
13-13-11-1,4,21,1.044854,13
14-7-9-9,4,21,1.031658,9
13-5-13-2,4,21,0.976364,13
4-11-11-4,4,21,0.930579,4
7-11-9-9,4,21,0.929172,9
15-0-9-9,4,21,0.898682,9
9-13-7-15,4,21,0.881573,15
10-9-9-10,4,21,0.863492,10
13-15-5-13,4,21,0.840303,13
11-14-11-13,4,21,0.795652,11
6-6-12-6,4,21,0.795059,6
11-9-7-11,4,21,0.748178,11
13-1-13-9,4,21,0.738223,13
9-14-9-14,4,21,0.735027,14
11-5-13-11,4,21,0.719544,11
13-4-11-13,4,21,0.707660,13
13-9-14-13,4,21,0.670691,13
9-7-11-9,4,21,0.607046,9
5-9-5-13,4,21,0.589508,13
15-7-9-13,4,21,0.580826,15
3-9-15-9,4,21,0.562978,9
3-5-3-3,4,21,0.557904,3
6-9-6-9,4,21,0.531216,6
11-13-11-7,4,21,0.520849,11
9-15-9-0,4,21,0.489214,9
15-0-15-7,4,21,0.459656,15
9-15-7-13,4,21,0.448786,13
3-13-9-9,4,21,0.445049,9
14-9-13-9,4,21,0.428860,9
9-14-13-9,4,21,0.413325,9
10-15-10-15,4,20,1.592110,10
13-3-11-13,4,20,1.472663,13
7-11-13-7,4,20,1.121645,7
5-5-7-9,4,20,0.987104,7
11-2-13-11,4,20,0.963667,11
4-10-4-4,4,20,0.963036,4
2-2-2-0,4,20,0.935917,2
9-9-15-3,4,20,0.881326,9
11-13-11-4,4,20,0.864174,11
6-6-4-6,4,20,0.858812,6
13-5-9-5,4,20,0.763034,5
7-5-9-9,4,20,0.647484,9
13-15-13-14,4,20,0.630821,13
9-7-9-0,4,20,0.629109,9
1-1-1-6,4,20,0.587734,6
7-7-10-10,4,20,0.576487,7
6-6-14-6,4,20,0.573838,6
13-14-13-15,4,20,0.551494,13
10-15-13-13,4,20,0.528248,13
10-10-2-2,4,20,0.512729,10
7-11-9-7,4,20,0.470555,11
7-9-7-0,4,20,0.413594,0
7-9-7-7-7,5,204,0.420752,7
15-15-15-15-13,5,175,0.484628,15
11-11-11-9-11,5,169,0.429079,11
15-15-15-13-15,5,155,0.512684,15
9-9-7-9-9,5,147,0.400334,9
7-13-7-7-7,5,132,0.532482,7
11-7-11-11-11,5,129,0.664913,11
15-15-13-15-15,5,129,0.442609,15
11-0-11-11-11,5,120,0.457914,11
13-13-14-13-13,5,119,0.478198,13
9-9-11-9-9,5,108,0.475604,9
11-5-11-11-11,5,103,0.467105,11
15-9-15-15-9,5,103,0.463809,15
9-9-9-5-9,5,100,0.558061,9
13-13-11-13-11,5,100,0.499778,13
11-11-2-11-11,5,98,0.435545,11
13-13-13-12-13,5,98,0.427075,13
1-13-1-1-1,5,97,0.472096,1
6-11-6-6-6,5,96,0.418051,6
9-9-9-9-0,5,94,0.764056,9
9-11-9-9-9,5,94,0.513593,9
11-11-13-11-13,5,87,0.460514,11
7-7-11-7-7,5,85,0.488602,7
11-15-11-11-11,5,85,0.440178,11
13-11-13-11-13,5,85,0.412455,13
11-11-11-11-6,5,83,0.506394,11
9-9-14-9-9,5,81,0.570690,9
9-13-9-9-13,5,81,0.456244,9
7-11-7-7-7,5,81,0.423458,7
5-9-5-5-5,5,77,0.615096,5
9-9-9-0-9,5,77,0.454250,9
9-9-9-9-14,5,76,0.497408,9
0-9-0-0-0,5,73,0.471446,0
3-3-3-3-13,5,71,0.415372,3
10-10-13-10-10,5,69,0.615794,10
5-13-13-5-5,5,68,0.695127,5
13-13-13-0-0,5,68,0.481155,13
1-1-1-1-11,5,67,0.529645,1
11-11-11-4-11,5,67,0.524533,11
2-13-2-2-2,5,65,0.615156,2
15-15-15-15-11,5,65,0.426212,15
15-15-7-7-7,5,64,0.500774,7
5-5-13-5-13,5,63,0.574774,13
5-5-9-5-5,5,62,0.570347,5
7-7-9-7-9,5,61,0.484362,7
13-15-15-13-13,5,60,0.404555,13
5-13-5-13-5,5,58,0.577859,5
13-13-15-15-13,5,58,0.401865,13
7-9-9-7-7,5,57,0.450827,7
0-0-0-0-5,5,55,0.803315,0
13-15-13-13-15,5,55,0.609950,13
5-5-5-11-5,5,55,0.463953,5
11-11-11-3-11,5,54,0.453932,11
9-3-9-9-9,5,53,0.857093,9
0-0-15-0-0,5,53,0.850897,0
5-11-5-5-5,5,53,0.472595,5
5-5-13-13-5,5,53,0.453324,5
0-0-0-7-0,5,53,0.453098,0
4-13-13-13-4,5,53,0.417684,13
0-0-0-13-13,5,52,0.727717,13
15-15-15-11-15,5,52,0.627069,15
11-11-11-11-1,5,52,0.483103,11
9-9-7-7-9,5,51,0.472286,9
6-6-6-6-3,5,50,0.438619,6
9-9-3-9-9,5,49,0.602103,9
4-4-4-4-15,5,49,0.452781,4
9-9-7-9-7,5,49,0.422194,7
13-7-13-13-7,5,49,0.404376,13
13-7-7-13-13,5,48,0.496155,13
13-4-4-13-13,5,48,0.475958,13
0-7-0-0-0,5,48,0.463883,0
0-0-0-5-0,5,47,0.641704,0
3-0-3-3-3,5,47,0.540607,3
4-13-4-13-13,5,47,0.530176,13
13-13-0-0-13,5,47,0.512420,13
7-9-9-9-7,5,47,0.432170,7
13-15-13-15-13,5,46,0.824500,13
11-11-11-2-2,5,46,0.574490,2
15-15-11-15-15,5,46,0.535491,15
10-10-10-10-9,5,46,0.430471,10
7-7-7-0-7,5,46,0.423418,7
7-7-13-7-13,5,46,0.414098,13
0-0-11-0-0,5,45,0.512885,0
12-13-12-12-12,5,44,0.597248,12
6-6-13-13-13,5,44,0.525899,13
9-9-9-15-13,5,44,0.445209,9
15-7-15-7-7,5,44,0.429670,7
4-13-4-13-4,5,44,0.403980,4
0-15-0-0-0,5,43,0.505804,0
15-15-15-3-15,5,43,0.503802,15
11-11-9-9-9,5,43,0.485206,9
7-15-15-15-7,5,42,0.608080,15
15-5-15-15-15,5,42,0.515896,15
13-13-4-4-13,5,42,0.476798,13
7-7-15-7-15,5,42,0.406817,7
5-15-5-5-5,5,41,0.833321,5
7-7-5-7-7,5,41,0.551965,7
0-0-0-4-0,5,41,0.472182,0
15-15-15-5-15,5,41,0.463980,15
1-9-1-1-1,5,40,0.734893,1
7-7-7-7-3,5,40,0.661731,7
15-15-4-15-15,5,40,0.588944,15
3-3-3-3-0,5,40,0.571215,3
1-1-1-1-15,5,40,0.513289,1
4-4-4-7-4,5,39,0.853290,4
4-15-4-4-4,5,39,0.815290,4
2-5-2-2-2,5,39,0.737393,2
0-11-0-0-0,5,39,0.670640,0
7-0-7-7-7,5,39,0.614633,7
6-6-6-6-9,5,39,0.568003,6
15-7-9-9-9,5,39,0.553115,9
3-3-0-3-3,5,39,0.454213,3
15-15-13-13-15,5,39,0.435999,15
9-1-9-9-9,5,38,0.871497,9
15-15-15-14-15,5,38,0.803923,15
12-12-12-12-0,5,38,0.736853,12
15-15-3-15-15,5,38,0.700492,15
6-9-6-6-6,5,38,0.636610,6
9-9-1-9-9,5,38,0.495674,9
3-13-3-3-3,5,37,1.400285,3
15-15-15-15-10,5,37,0.471620,15
11-9-9-11-11,5,36,0.914684,11
15-15-15-7-9,5,36,0.435309,9
1-1-1-15-1,5,36,0.431230,1
3-3-3-13-3,5,35,0.692012,3
