prefix,k,support,dH,pred_next
6-6-5-6-6,5,35,0.664680,6
13-6-13-6-13,5,35,0.662317,13
2-2-5-2-2,5,35,0.539798,2
1-1-15-1-1,5,35,0.514608,1
6-0-6-6-6,5,35,0.487935,6
12-12-0-12-12,5,35,0.471446,12
13-0-13-0-13,5,35,0.456571,13
13-15-15-15-13,5,35,0.452455,13
10-15-10-10-10,5,35,0.447970,10
11-2-2-11-11,5,35,0.413723,11
9-10-9-9-9,5,34,0.693346,9
13-1-1-1-13,5,34,0.651455,1
11-2-11-2-11,5,34,0.430510,11
13-1-13-13-1,5,33,0.877288,13
15-13-9-9-9,5,33,0.774626,9
11-9-11-9-9,5,33,0.588928,9
4-4-4-15-4,5,33,0.525138,4
13-0-0-0-13,5,33,0.489820,0
9-9-9-9-1,5,33,0.476143,9
13-11-13-13-9,5,33,0.447458,13
3-13-3-13-13,5,32,0.725551,13
1-1-1-7-1,5,32,0.525953,1
11-11-10-11-11,5,32,0.494577,11
9-9-15-13-9,5,32,0.483723,9
10-2-10-10-10,5,32,0.459582,10
15-3-15-15-15,5,31,1.069900,15
10-13-13-13-10,5,31,0.719356,13
4-9-4-4-4,5,31,0.708707,4
15-10-15-15-15,5,31,0.592821,15
11-11-11-10-11,5,31,0.556855,11
11-11-9-9-11,5,31,0.550137,11
13-1-13-1-1,5,31,0.488921,1
13-13-9-13-7,5,31,0.473842,13
0-0-0-0-14,5,31,0.445517,0
13-13-13-9-7,5,30,1.132938,13
2-2-2-13-13,5,30,0.949070,13
7-7-15-15-7,5,30,0.867329,15
13-6-13-13-6,5,30,0.792627,13
13-3-13-3-13,5,30,0.669803,13
6-13-13-13-6,5,30,0.601598,13
13-13-13-11-9,5,30,0.539459,13
1-1-7-1-1,5,30,0.513604,1
5-5-5-2-5,5,30,0.505699,5
0-13-0-0-13,5,30,0.452823,13
4-4-4-3-3,5,30,0.452599,4
0-0-13-13-0,5,30,0.452022,13
14-14-14-14-7,5,30,0.400731,14
13-13-3-3-13,5,29,0.788106,13
12-15-12-12-12,5,29,0.782280,12
13-3-3-13-13,5,29,0.658098,13
2-14-2-2-2,5,29,0.598920,2
3-3-3-3-4,5,29,0.500436,3
9-7-13-13-13,5,29,0.465525,13
5-5-11-11-11,5,29,0.452597,11
13-7-13-13-11,5,28,0.882404,13
5-9-9-9-5,5,28,0.712561,9
13-7-7-13-7,5,28,0.673577,7
3-3-13-3-3,5,28,0.538041,3
7-15-15-7-7,5,28,0.448608,7
6-6-6-11-11,5,28,0.420168,6
7-15-15-15-9,5,28,0.410367,15
13-10-13-13-10,5,27,0.708191,13
13-13-11-13-9,5,27,0.610623,13
7-7-7-9-15,5,27,0.594409,7
9-9-9-9-12,5,27,0.534080,9
13-13-2-2-13,5,27,0.524704,13
12-12-12-4-12,5,27,0.491411,12
13-4-13-13-4,5,27,0.469196,13
9-13-13-13-15,5,27,0.468058,13
15-15-7-9-9,5,27,0.459091,9
9-9-15-9-7,5,27,0.448798,9
0-0-10-0-0,5,27,0.420017,0
5-5-5-14-5,5,26,0.798145,5
0-0-0-10-0,5,26,0.762349,0
13-9-13-11-13,5,26,0.761063,13
9-9-9-9-2,5,26,0.610685,9
6-13-13-6-6,5,26,0.590238,6
12-12-13-13-13,5,26,0.518194,13
6-11-11-6-6,5,26,0.500546,6
4-4-4-5-4,5,26,0.489768,4
9-15-9-7-9,5,26,0.471848,9
12-12-12-12-9,5,25,1.033759,12
7-7-7-7-10,5,25,0.800388,7
9-9-5-9-5,5,25,0.770362,9
9-9-11-9-11,5,25,0.733007,9
5-4-5-5-5,5,25,0.717745,5
15-7-15-9-15,5,25,0.687291,15
13-11-13-9-13,5,25,0.683723,13
7-13-13-11-13,5,25,0.669607,13
14-14-14-14-13,5,25,0.668909,14
11-2-2-2-11,5,25,0.668682,2
11-9-11-11-9,5,25,0.602796,11
13-0-13-13-0,5,25,0.584453,13
12-4-12-12-12,5,25,0.572648,12
13-9-15-9-9,5,25,0.568037,9
1-4-1-1-1,5,25,0.565486,1
4-5-4-4-4,5,25,0.548478,4
3-12-3-3-3,5,25,0.500928,3
5-5-14-5-5,5,25,0.448727,5
13-13-13-5-11,5,25,0.442553,13
13-13-13-15-7,5,25,0.431712,13
9-9-15-7-9,5,25,0.426677,9
15-9-9-7-9,5,25,0.408347,9
11-2-11-11-2,5,25,0.404978,11
5-14-5-5-5,5,24,0.919247,5
14-14-14-14-15,5,24,0.788281,14
14-14-14-14-11,5,24,0.759435,14
7-7-2-7-7,5,24,0.740608,7
5-5-5-5-0,5,24,0.685921,5
1-1-1-1-4,5,24,0.680820,1
13-10-10-13-13,5,24,0.608578,13
9-9-9-11-13,5,24,0.605986,9
10-10-10-7-10,5,24,0.562282,10
15-15-9-9-7,5,24,0.545532,15
13-13-13-9-15,5,24,0.544250,15
11-11-11-11-12,5,24,0.542438,11
11-11-0-11-0,5,24,0.531930,11
9-9-7-9-13,5,24,0.495206,13
9-15-9-9-13,5,24,0.467320,9
11-11-11-6-6,5,24,0.457848,11
0-0-0-11-11,5,24,0.435229,11
11-9-13-13-13,5,24,0.420777,13
5-5-5-5-4,5,24,0.416893,5
7-7-7-2-7,5,23,1.073856,7
9-7-15-9-9,5,23,0.964778,9
14-14-14-13-14,5,23,0.925263,14
9-9-9-3-3,5,23,0.875248,9
2-15-2-2-2,5,23,0.870498,2
7-10-7-7-7,5,23,0.837621,7
3-3-11-3-3,5,23,0.658716,3
4-11-4-4-11,5,23,0.648061,4
11-0-11-0-11,5,23,0.611578,11
9-9-7-15-9,5,23,0.568849,9
3-11-3-3-3,5,23,0.521767,3
15-0-0-15-15,5,23,0.508063,15
9-9-15-9-13,5,23,0.440762,9
9-9-9-9-6,5,23,0.431766,9
9-9-9-12-9,5,23,0.419540,9
12-3-12-12-12,5,22,1.010463,12
1-13-13-1-1,5,22,0.872176,1
14-14-7-14-7,5,22,0.746072,14
7-9-7-13-7,5,22,0.743323,7
10-0-10-10-10,5,22,0.725770,10
9-9-9-2-9,5,22,0.697122,9
2-7-2-2-2,5,22,0.696636,2
6-6-6-15-6,5,22,0.656718,6
15-9-9-13-9,5,22,0.631169,9
0-15-15-15-0,5,22,0.603268,15
4-4-5-4-4,5,22,0.572044,4
15-2-15-15-15,5,22,0.560067,15
13-11-9-13-13,5,22,0.530368,13
7-14-7-14-7,5,22,0.516737,14
15-15-15-13-9,5,22,0.514849,15
12-7-12-12-12,5,22,0.498586,12
9-15-9-13-9,5,22,0.490478,9
0-0-0-0-8,5,22,0.483302,0
14-14-14-11-14,5,22,0.459233,14
4-0-4-0-4,5,22,0.451479,0
10-10-10-10-0,5,22,0.423630,10
3-3-12-3-3,5,22,0.422924,3
0-10-0-0-0,5,22,0.401111,0
0-0-0-15-15,5,22,0.400568,15
13-6-6-13-13,5,21,1.170697,13
7-15-9-15-15,5,21,1.126947,15
9-9-9-6-9,5,21,0.963688,9
11-11-4-4-4,5,21,0.872731,4
2-10-2-2-2,5,21,0.871233,2
11-7-11-7-11,5,21,0.857759,11
9-13-7-9-9,5,21,0.828902,9
13-7-11-13-13,5,21,0.755375,13
3-13-13-13-3,5,21,0.707034,13
13-9-13-13-7,5,21,0.673650,13
3-3-11-11-11,5,21,0.609469,11
0-0-0-8-0,5,21,0.564960,0
15-9-5-9-9,5,21,0.532580,9
13-13-10-10-10,5,21,0.526497,10
13-11-5-13-13,5,21,0.519670,13
13-0-13-9-13,5,21,0.488396,13
11-5-5-11-11,5,21,0.480470,11
7-7-7-14-14,5,21,0.461587,14
13-9-15-13-13,5,21,0.455684,13
6-6-15-6-6,5,21,0.449181,6
7-7-11-7-11,5,21,0.424264,7
15-9-15-15-7,5,21,0.416792,15
5-11-11-5-5,5,20,1.017372,5
9-9-13-15-13,5,20,0.999156,13
7-7-7-7-4,5,20,0.873463,7
4-13-13-4-4,5,20,0.783658,4
3-3-4-3-3,5,20,0.749006,3
13-13-13-5-9,5,20,0.727835,13
5-5-11-11-5,5,20,0.726146,5
3-3-9-9-9,5,20,0.708627,9
0-13-0-13-0,5,20,0.681111,0
11-11-11-0-0,5,20,0.675088,11
9-12-9-9-9,5,20,0.662415,9
13-13-11-13-5,5,20,0.601741,13
7-7-7-4-7,5,20,0.599527,7
3-3-3-9-3,5,20,0.572562,3
11-6-6-11-11,5,20,0.552681,11
3-3-3-3-7,5,20,0.551948,3
10-13-10-10-13,5,20,0.535394,13
15-13-13-9-9,5,20,0.510309,9
0-15-0-15-15,5,20,0.497464,15
11-6-6-6-11,5,20,0.481505,6
3-7-3-3-3,5,20,0.470455,3
3-3-3-12-3,5,20,0.462213,3
11-9-13-9-9,5,20,0.454602,9
6-6-6-8-6,5,20,0.439728,6
15-15-0-0-15,5,20,0.430485,15
13-7-13-13-15,5,20,0.430442,13
11-6-11-11-6,5,20,0.418374,11
7-6-7-7-7,5,20,0.403964,7
10-10-10-0-10,5,20,0.403580,10
13-13-13-13-3-13,6,142,0.436077,13
9-9-9-13-9-9,6,142,0.400871,9
0-0-0-0-0-13,6,101,0.431990,0
11-11-11-0-11-11,6,91,0.418187,11
11-0-11-11-11-11,6,89,0.637379,11
13-13-13-13-13-6,6,87,0.421631,13
0-0-13-0-0-0,6,79,0.520156,0
11-11-11-11-11-15,6,78,0.553170,11
11-11-11-5-11-11,6,71,0.527729,11
11-11-2-11-11-11,6,70,0.555443,11
9-11-9-9-9-9,6,68,0.448465,9
7-7-7-15-7-7,6,68,0.447819,7
11-11-11-13-13-13,6,66,0.471869,13
11-11-11-15-11-11,6,62,0.400961,11
13-13-13-9-13-9,6,61,0.453257,13
11-11-11-11-11-6,6,58,0.498477,11
11-13-13-11-11-11,6,57,0.423774,11
9-9-9-9-0-9,6,56,0.476873,9
7-7-7-11-7-7,6,55,0.701533,7
0-3-0-0-0-0,6,55,0.493718,0
9-9-9-9-9-3,6,54,0.454076,9
9-9-9-9-14-9,6,53,0.491985,9
0-0-3-0-0-0,6,53,0.440725,0
9-15-9-9-9-15,6,52,0.408926,9
9-9-9-9-3-9,6,51,0.481953,9
9-9-9-13-13-13,6,50,0.597221,13
13-9-13-9-13-9,6,50,0.573336,13
4-4-11-4-4-4,6,50,0.488115,4
11-11-11-11-11-14,6,50,0.453569,11
7-7-13-13-13-13,6,50,0.439674,13
13-13-11-13-11-13,6,49,0.617067,13
0-0-9-0-0-0,6,49,0.522309,0
7-11-7-7-7-7,6,49,0.478446,7
15-0-15-15-15-15,6,48,0.603384,15
3-3-3-3-3-13,6,48,0.472028,3
9-9-15-15-9-9,6,48,0.400130,9
13-13-13-13-15-15,6,46,0.586846,13
13-13-9-13-13-9,6,45,0.497645,13
15-15-15-0-15-15,6,43,0.605142,15
13-11-11-11-13-13,6,43,0.595196,13
0-0-0-0-9-0,6,42,0.582577,0
7-14-7-7-7-7,6,42,0.533775,7
11-11-13-11-13-11,6,42,0.471311,11
2-2-13-2-2-2,6,42,0.400072,2
15-9-15-9-15-9,6,41,0.614546,15
9-15-9-15-9-15,6,41,0.575820,9
11-1-11-11-11-11,6,41,0.446790,11
9-3-9-9-9-9,6,41,0.443638,9
0-0-0-0-0-15,6,40,0.887717,0
5-13-13-5-5-5,6,40,0.728812,5
13-11-13-13-13-11,6,40,0.404436,13
15-9-9-9-9-15,6,38,0.405490,9
7-9-9-7-7-7,6,37,0.932851,7
15-15-9-9-15-9,6,37,0.498751,9
4-4-0-4-4-4,6,37,0.459836,4
5-5-13-5-5-13,6,37,0.458364,5
13-13-13-5-5-13,6,37,0.433962,13
4-0-4-4-4-4,6,37,0.400813,4
5-11-5-5-5-5,6,36,0.968987,5
7-7-7-7-14-7,6,36,0.602498,7
7-7-7-7-7-0,6,35,0.502218,7
9-15-9-9-15-15,6,35,0.472773,15
15-15-15-15-11-15,6,34,0.538017,15
13-13-8-13-13-13,6,34,0.500523,13
0-0-0-0-11-0,6,34,0.414417,0
9-13-9-9-13-13,6,33,0.731087,13
0-7-0-0-0-0,6,33,0.661488,0
11-11-11-11-1-11,6,33,0.621322,11
1-1-1-1-1-9,6,33,0.587863,1
10-10-10-9-10-10,6,33,0.586157,10
7-7-9-7-9-7,6,33,0.447099,7
6-3-6-6-6-6,6,33,0.441153,6
3-0-3-3-3-3,6,32,0.654441,3
13-5-5-5-5-13,6,32,0.646585,5
0-5-0-0-0-0,6,32,0.619850,0
7-7-15-15-15-15,6,32,0.505911,15
7-9-7-9-7-7,6,31,0.967740,7
0-15-0-0-0-0,6,31,0.716981,0
1-9-1-1-1-1,6,31,0.554663,1
9-9-15-15-9-15,6,31,0.476429,9
13-13-13-13-4-4,6,31,0.442398,13
13-13-13-4-13-4,6,31,0.439669,13
5-5-5-5-5-15,6,30,0.751400,5
15-15-15-15-15-4,6,30,0.751364,15
13-13-15-15-15-15,6,30,0.566477,15
7-4-4-4-4-4,6,30,0.460974,4
0-0-0-15-0-0,6,30,0.442891,0
10-10-9-10-10-10,6,30,0.416119,10
15-11-15-15-15-15,6,29,0.756158,15
9-7-9-7-7-7,6,29,0.679223,7
0-11-0-0-0-0,6,29,0.627960,0
13-13-7-13-7-13,6,29,0.605048,13
10-9-10-10-10-10,6,29,0.542710,10
7-7-7-7-0-7,6,29,0.457018,7
13-7-7-13-13-13,6,28,1.058033,13
5-5-15-5-5-5,6,28,0.781339,5
3-3-3-3-3-0,6,28,0.695443,3
4-4-4-13-13-13,6,28,0.549340,13
15-7-9-9-9-9,6,28,0.500895,9
3-13-3-3-3-3,6,28,0.422858,3
11-11-13-13-11-13,6,28,0.400656,13
12-12-12-12-12-4,6,27,0.603075,12
9-9-4-9-9-9,6,27,0.532658,9
1-1-1-1-1-15,6,27,0.478748,1
15-5-15-15-15-15,6,27,0.446702,15
13-5-13-13-13-5,6,26,0.712342,13
5-5-13-5-13-13,6,26,0.612842,5
15-15-15-15-15-10,6,26,0.587575,15
13-7-13-7-13-13,6,26,0.522646,13
7-7-9-7-7-9,6,26,0.498759,7
7-3-7-7-7-7,6,26,0.489900,7
11-11-9-9-9-9,6,26,0.471970,9
15-15-15-15-15-3,6,26,0.470002,15
0-0-0-0-4-0,6,25,0.976637,0
13-7-13-13-7-13,6,25,0.849180,13
1-1-7-1-1-1,6,25,0.646130,1
13-13-9-13-9-9,6,25,0.603199,9
9-9-9-9-11-11,6,25,0.584056,11
4-9-4-4-4-4,6,25,0.495502,4
9-1-9-9-9-9,6,25,0.432476,9
12-12-12-12-15-12,6,24,0.947426,12
5-15-5-5-5-5,6,24,0.916039,5
1-15-1-1-1-1,6,24,0.861959,1
7-9-7-7-7-9,6,24,0.851441,7
9-7-7-9-9-9,6,24,0.796483,9
13-9-9-13-9-13,6,24,0.711605,9
7-9-7-7-9-7,6,24,0.690419,7
7-7-7-3-7-7,6,24,0.614087,7
6-13-6-13-13-13,6,24,0.606609,13
7-0-7-7-7-7,6,24,0.587878,7
9-7-7-7-7-9,6,24,0.419872,7
5-5-5-15-5-5,6,24,0.418991,5
13-7-13-13-13-7,6,23,1.443696,13
11-13-13-11-11-13,6,23,0.750698,13
15-9-15-9-9-15,6,23,0.596456,15
6-10-6-6-6-6,6,23,0.550344,6
15-15-15-5-15-15,6,23,0.524314,15
5-13-13-5-13-5,6,23,0.511702,13
9-13-13-9-9-13,6,23,0.506532,13
15-15-14-15-15-15,6,23,0.484250,15
13-9-13-13-9-9,6,22,0.955397,9
7-15-15-15-7-15,6,22,0.847003,15
13-13-7-7-13-13,6,22,0.603859,13
4-4-4-15-4-4,6,22,0.547202,4
11-13-9-13-13-13,6,22,0.534344,13
13-13-13-13-1-1,6,22,0.454890,1
1-1-5-1-1-1,6,22,0.446146,1
3-3-3-3-0-3,6,22,0.420200,3
9-9-9-10-9-9,6,22,0.416324,9
15-7-15-7-7-7,6,22,0.405372,7
15-15-15-13-13-15,6,21,0.836357,15
7-13-7-13-7-7,6,21,0.762195,7
15-15-7-15-7-15,6,21,0.700664,15
15-15-15-15-10-15,6,21,0.700340,15
5-5-5-5-5-14,6,21,0.667938,5
13-3-13-3-13-13,6,21,0.654697,13
2-2-2-2-2-9,6,21,0.626285,2
5-5-5-9-9-9,6,21,0.572779,9
13-13-3-3-13-13,6,21,0.551225,13
7-15-15-7-15-15,6,21,0.535718,15
11-11-11-11-5-5,6,21,0.517341,11
4-4-4-4-4-5,6,21,0.495980,4
5-5-2-5-5-5,6,21,0.475619,5
5-5-5-5-9-9,6,21,0.437915,9
9-10-9-9-9-9,6,20,1.173192,9
7-9-7-9-9-9,6,20,0.893656,9
7-15-15-15-15-7,6,20,0.852746,15
7-5-7-7-7-7,6,20,0.770778,7
13-13-11-13-13-9,6,20,0.761882,13
7-7-7-15-15-15,6,20,0.667670,15
6-6-6-6-10-6,6,20,0.657726,6
13-13-5-5-5-13,6,20,0.585824,5
3-3-3-13-13-13,6,20,0.536663,13
15-15-7-7-15-15,6,20,0.507150,15
9-7-13-13-13-13,6,20,0.484060,13
7-15-7-7-15-7,6,20,0.464534,7
15-7-15-7-15-15,6,20,0.462235,15
13-1-1-1-13-1,6,20,0.451204,1
2-9-9-9-9-9,6,20,0.448897,9
13-13-13-13-13-13-3,7,117,0.417593,13
9-13-9-9-9-9-9,7,111,0.409596,9
11-11-7-11-11-11-11,7,71,0.560592,11
6-6-13-6-6-6-6,7,67,0.475624,6
15-15-13-15-15-15-15,7,65,0.482537,15
11-11-11-11-0-11-11,7,64,0.477997,11
9-9-7-9-9-9-9,7,61,0.565928,9
11-9-11-11-11-11-11,7,60,0.508979,11
0-0-0-13-0-0-0,7,60,0.417587,0
15-15-15-15-7-15-15,7,53,0.419945,15
9-9-9-9-9-9-0,7,49,0.507031,9
15-15-15-15-15-9-9,7,47,0.465909,15
7-7-7-7-7-15-7,7,45,0.535458,7
9-9-9-9-5-9-9,7,45,0.529845,9
9-9-5-9-9-9-9,7,43,0.804209,9
9-9-9-9-11-9-9,7,43,0.601206,9
11-6-11-11-11-11-11,7,43,0.502505,11
5-5-13-13-13-13-13,7,42,0.403311,13
0-0-13-13-13-13-13,7,39,0.500063,13
9-9-9-9-9-0-9,7,38,0.456276,9
0-0-0-0-0-0-9,7,37,0.416115,0
9-13-13-13-9-13-13,7,36,0.409234,13
11-11-11-11-11-4-11,7,35,0.496216,11
13-13-13-11-11-13-13,7,33,0.663895,13
9-9-14-9-9-9-9,7,33,0.534150,9
13-11-13-11-13-13-13,7,33,0.529725,13
13-13-13-11-11-11-11,7,33,0.463148,11
11-1-11-11-11-11-11,7,33,0.462249,11
4-4-13-13-13-13-13,7,32,0.545970,13
5-5-5-9-5-5-5,7,32,0.438790,5
9-9-7-7-7-7-7,7,32,0.417931,7
0-0-0-0-7-0-0,7,30,0.834012,0
5-5-9-5-5-5-5,7,30,0.680896,5
15-15-15-9-15-15-9,7,30,0.617374,15
13-9-9-13-13-13-13,7,30,0.578905,13
0-0-0-0-0-0-11,7,30,0.444147,0
13-13-13-11-13-11-13,7,30,0.404368,13
11-11-11-11-13-13-11,7,29,0.592242,11
15-15-15-15-15-0-15,7,29,0.542292,15
4-4-4-0-4-4-4,7,29,0.414729,4
5-5-5-5-11-5-5,7,29,0.411613,5
5-13-13-5-5-5-5,7,28,0.560161,5
13-11-13-13-11-13-13,7,27,0.902520,13
1-1-11-1-1-1-1,7,27,0.540404,1
6-6-1-6-6-6-6,7,27,0.534792,6
5-5-5-5-5-13-13,7,27,0.485440,5
9-9-15-15-9-9-9,7,26,0.532976,9
15-15-15-9-15-9-15,7,26,0.516238,15
9-9-9-9-13-13-9,7,26,0.490328,9
13-13-13-13-9-9-9,7,26,0.489975,9
15-15-15-15-15-15-11,7,25,0.576930,15
11-11-14-11-11-11-11,7,25,0.472242,11
11-11-11-1-11-11-11,7,25,0.441661,11
4-4-4-4-4-0-4,7,25,0.439247,4
5-5-5-5-5-5-15,7,24,0.610249,5
11-11-11-13-11-11-13,7,24,0.495844,11
11-13-13-13-11-13-13,7,24,0.435133,13
15-9-15-9-15-15-15,7,24,0.405652,15
13-13-13-0-0-13-13,7,23,0.716436,13
4-4-4-7-4-4-4,7,23,0.639093,4
13-13-15-15-15-15-15,7,23,0.610734,15
0-15-0-0-0-0-0,7,23,0.581656,0
7-7-7-7-9-9-7,7,23,0.580165,7
4-4-7-4-4-4-4,7,23,0.458340,4
15-9-15-15-15-15-9,7,23,0.423178,15
9-13-9-13-9-13-13,7,22,0.830445,13
15-9-9-9-9-9-15,7,22,0.573403,9
9-9-9-13-13-9-9,7,22,0.474302,9
0-0-15-0-0-0-0,7,22,0.416970,0
15-9-15-15-9-15-15,7,22,0.415312,15
7-3-7-7-7-7-7,7,22,0.403176,7
13-11-11-11-11-11-13,7,22,0.402384,11
9-15-15-15-15-15-9,7,22,0.401235,15
7-7-7-9-7-9-7,7,21,0.528988,7
12-12-0-12-12-12-12,7,21,0.491237,12
15-15-15-15-15-4-15,7,21,0.466944,15
15-15-15-9-9-9-9,7,21,0.445062,9
9-9-9-15-9-15-9,7,21,0.436333,15
15-9-9-9-15-9-9,7,20,0.775929,9
9-9-9-15-9-15-15,7,20,0.614647,9
13-15-15-13-13-13-13,7,20,0.598867,13
4-4-15-4-4-4-4,7,20,0.586524,4
13-4-4-13-13-13-13,7,20,0.555940,13
5-15-5-5-5-5-5,7,20,0.527777,5
13-13-13-13-13-4-4,7,20,0.511968,13
15-15-15-9-9-15-9,7,20,0.459003,15
6-6-6-6-6-9-6,7,20,0.450551,6
3-3-3-3-3-3-0,7,20,0.407508,3
13-0-13-13-13-13-13-13,8,118,0.416779,13
13-13-2-13-13-13-13-13,8,67,0.468552,13
0-13-0-0-0-0-0-0,8,53,0.425916,0
11-11-11-11-9-11-11-11,8,49,0.409828,11
15-13-15-15-15-15-15-15,8,47,0.448904,15
13-13-6-13-13-13-13-13,8,42,0.560169,13
9-5-9-9-9-9-9-9,8,39,0.465328,9
7-7-7-7-13-7-7-7,8,39,0.414930,7
7-7-7-7-7-7-11-7,8,35,0.600389,7
7-7-7-7-11-7-7-7,8,34,0.491424,7
4-4-4-4-4-4-11-4,8,33,0.492847,4
11-15-11-11-11-11-11-11,8,33,0.461701,11
9-9-9-9-5-9-9-9,8,33,0.404989,9
7-7-7-7-7-15-7-7,8,32,0.690956,7
6-6-6-6-6-6-11-6,8,32,0.504309,6
7-7-7-11-7-7-7-7,8,29,0.627623,7
9-13-9-13-13-13-13-13,8,29,0.536789,13
13-13-5-5-5-5-5-5,8,28,0.723278,5
1-1-1-1-13-1-1-1,8,28,0.638976,1
13-13-11-11-11-11-11-11,8,28,0.420533,11
15-15-9-9-9-9-9-9,8,28,0.414606,9
9-9-9-9-9-11-9-9,8,27,0.461323,9
11-14-11-11-11-11-11-11,8,26,0.762727,11
5-9-5-5-5-5-5-5,8,26,0.689527,5
13-11-13-11-13-13-13-13,8,26,0.404309,13
2-2-2-13-2-2-2-2,8,25,0.747521,2
9-9-9-0-9-9-9-9,8,25,0.599880,9
9-9-7-7-7-7-7-7,8,25,0.579279,7
5-5-5-5-5-5-5-7,8,25,0.508979,5
15-0-15-15-15-15-15-15,8,25,0.456700,15
11-11-11-11-11-11-13-13,8,25,0.447354,11
9-3-9-9-9-9-9-9,8,24,0.663084,9
11-11-11-11-11-3-11-11,8,24,0.631955,11
6-6-6-6-1-6-6-6,8,24,0.613519,6
5-5-5-5-9-5-5-5,8,24,0.438162,5
13-13-11-13-13-13-13-11,8,23,0.502286,13
13-9-9-13-13-13-13-13,8,23,0.411544,13
3-0-3-3-3-3-3-3,8,22,0.546078,3
11-13-13-11-11-11-11-11,8,22,0.409732,11
12-12-0-12-12-12-12-12,8,21,0.598114,12
11-13-13-13-13-11-13-13,8,21,0.509899,13
11-13-11-11-13-11-11-11,8,20,0.725340,11
9-9-9-9-9-9-9-14,8,20,0.682169,9
15-15-0-15-15-15-15-15,8,20,0.465629,15
0-0-7-0-0-0-0-0,8,20,0.420398,0
9-9-9-9-9-9-9-15-9,9,68,0.507192,9
9-9-9-9-9-9-13-9-9,9,59,0.452428,9
5-5-5-5-5-13-5-5-5,9,47,0.505164,5
13-6-13-13-13-13-13-13-13,9,43,0.404219,13
9-7-9-9-9-9-9-9-9,9,40,0.555841,9
11-11-13-13-13-13-13-13-13,9,40,0.491680,13
6-6-6-6-6-6-6-6-11,9,40,0.433498,6
15-15-15-15-15-13-15-15-15,9,40,0.412891,15
9-9-7-9-9-9-9-9-9,9,38,0.544549,9
7-7-7-7-7-7-7-13-7,9,36,0.464323,7
9-9-9-9-9-9-9-9-11,9,35,0.431000,9
9-9-9-7-9-9-9-9-9,9,34,0.597631,9
13-13-13-14-13-13-13-13-13,9,33,0.454819,13
5-5-5-5-5-5-5-5-11,9,32,0.417249,5
2-2-2-11-2-2-2-2-2,9,31,0.457150,2
15-15-15-15-15-15-15-7-15,9,31,0.402260,15
5-9-9-9-9-9-9-9-9,9,30,0.711448,9
9-9-9-9-9-9-9-5-9,9,30,0.405328,9
13-13-13-13-13-13-12-13-13,9,29,0.565387,13
9-9-9-11-9-9-9-9-9,9,29,0.414847,9
15-15-15-7-15-15-15-15-15,9,28,0.702953,15
9-9-5-9-9-9-9-9-9,9,27,0.404345,9
11-11-11-13-13-13-13-13-13,9,26,0.694994,13
7-7-7-7-7-7-7-15-7,9,26,0.524570,7
4-4-4-4-11-4-4-4-4,9,25,0.570401,4
1-1-1-1-13-1-1-1-1,9,24,0.584297,1
11-11-11-11-11-11-11-4-11,9,24,0.411172,11
1-6-6-6-6-6-6-6-6,9,24,0.408388,6
13-13-11-11-11-11-11-11-11,9,23,0.525436,11
0-9-0-0-0-0-0-0-0,9,23,0.417475,0
11-11-11-11-11-11-11-11-1,9,23,0.401609,11
6-6-6-6-6-11-6-6-6,9,22,0.643794,6
11-14-11-11-11-11-11-11-11,9,22,0.516796,11
4-4-13-13-13-13-13-13-13,9,21,0.832901,13
5-5-7-5-5-5-5-5-5,9,21,0.529763,5
1-1-1-1-1-1-1-11-1,9,21,0.498248,1
9-9-9-9-9-3-9-9-9,9,21,0.424174,9
6-6-6-6-6-6-6-6-5,9,20,0.769872,6
5-5-5-5-5-11-5-5-5,9,20,0.425496,5
3-6-6-6-6-6-6-6-6,9,20,0.408388,6
